"id","title.orig","title.Arab","title.Latn","language.main","language.other","date.onset","date.terminus","location.id","toponym","toponym.Arab","toponym.Latn","lat","long","holdings","digitised"
"jaraid:t1r714","العثماني","العثماني","al-ʿUthmānī","ar","NA","1898-05-21","","geon:276781","Beirut","بيروت","Bayrūt","33.88894","35.49442","T","F"
"jaraid:t1r688","المحامي","المحامي","al-Muḥāmī","ar","NA","1898-05-26","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r647","بغلة العشر","بغلة العشر","Baghula","ar","NA","1898-05-30","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r692","القمر","القمر","al-Qamar","ar","NA","1898-06-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r705","السلام","السلام","al-Salām","ar","NA","1898-06-01","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","T","F"
"jaraid:t1r700","الصباح","الصباح","al-Ṣabāḥ","ar","NA","1898-06-12","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r707","شمس الحقيقة","شمس الحقيقة","Shams al-Ḥaqīqa","ar","NA","1898-06-13","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r671","المعارف","المعارف","al-Maʿārif","ar","NA","1898-07-01","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r680","المسيح الدجال","المسيح الدجال","al-Masīḥ al-Dajjāl","ar","arz","1898-07-06","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r673","المهدي","المهدي","al-Mahdī","ar","NA","1898-07-08","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","T","F"
"jaraid:t1r720","ابو الهدى","ابو الهدى","Abu'l-Hudā","ar","NA","1898-08-02","","geon:360630","Cairo","القاهرة","al-Qāhira","30.06263","31.24967","F","F"
"jaraid:t1r659","الحشاش","الحشاش","al-Ḥashshāsh","ar","NA","1898-08-14","","geon:361058","Alexandria","الإسكندرية","al-Iskandariyya","31.20176","29.91582","F","F"
